ID;Ürün Adı;Kategori;Alt Kategori;Hizmet Türü;Fiyat (TL);Popüler
ust-elbise-gundu-z-batch8;ÜST ELBİSE GÜNDÜZ;kadin-giyim;kadin-ust-giyim;yikama;600;EVET
perde-oto-daki-l-batch8;PERDE OTO DAKİL;ev-tekstili;perde-tul;kuru-temizleme;150;EVET
perde-oto-daki-l-batch8;PERDE OTO DAKİL;ev-tekstili;perde-tul;utuleme;100;HAYIR
perde-oto-daki-l-batch8;PERDE OTO DAKİL;ev-tekstili;perde-tul;yikama;150;EVET
perde-evsel-daki-l-batch8;PERDE EVSEL DAKİL;ev-tekstili;perde-tul;kuru-temizleme;150;EVET
perde-evsel-daki-l-batch8;PERDE EVSEL DAKİL;ev-tekstili;perde-tul;utuleme;100;HAYIR
perde-evsel-daki-l-batch8;PERDE EVSEL DAKİL;ev-tekstili;perde-tul;yikama;150;EVET
ust-gundu-z-i-pek-batch8;ÜST GÜNDÜZ İPEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;450;EVET
ust-gundu-z-i-pek-batch8;ÜST GÜNDÜZ İPEK;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
ust-gundu-z-i-pek-batch8;ÜST GÜNDÜZ İPEK;erkek-giyim;erkek-ust-giyim;yikama;450;EVET
triko-elbi-se-batch8;TRİKO ELBİSE;erkek-giyim;erkek-ust-giyim;kuru-temizleme;450;EVET
triko-elbi-se-batch8;TRİKO ELBİSE;erkek-giyim;erkek-ust-giyim;utuleme;200;HAYIR
triko-elbi-se-batch8;TRİKO ELBİSE;erkek-giyim;erkek-ust-giyim;yikama;450;EVET
triko-ceket-batch8;TRİKO CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
triko-ceket-batch8;TRİKO CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
triko-ceket-batch8;TRİKO CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
triko-pantolon-batch8;TRİKO PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;400;EVET
triko-pantolon-batch8;TRİKO PANTOLON;erkek-giyim;erkek-alt-giyim;utuleme;200;HAYIR
triko-pantolon-batch8;TRİKO PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;400;EVET
visco-elbi-se-batch8;VİSCO ELBİSE;erkek-giyim;erkek-ust-giyim;kuru-temizleme;1000;EVET
visco-elbi-se-batch8;VİSCO ELBİSE;erkek-giyim;erkek-ust-giyim;utuleme;500;HAYIR
visco-elbi-se-batch8;VİSCO ELBİSE;erkek-giyim;erkek-ust-giyim;yikama;1000;EVET
visco-elbi-se-batch8;VİSCO ELBİSE;erkek-giyim;erkek-ust-giyim;boyama;2000;HAYIR
visco-ceket-batch8;VİSCO CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
visco-ceket-batch8;VİSCO CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
visco-ceket-batch8;VİSCO CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
visco-ceket-batch8;VİSCO CEKET;erkek-giyim;erkek-ust-giyim;boyama;2000;HAYIR
visco-pantolon-batch8;VİSCO PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;400;EVET
visco-pantolon-batch8;VİSCO PANTOLON;erkek-giyim;erkek-alt-giyim;utuleme;200;HAYIR
visco-pantolon-batch8;VİSCO PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;400;EVET
visco-pantolon-batch8;VİSCO PANTOLON;erkek-giyim;erkek-alt-giyim;boyama;1000;HAYIR
visco-takim-batch8;VİSCO TAKIM;erkek-giyim;erkek-takim-elbise;kuru-temizleme;1200;EVET
visco-takim-batch8;VİSCO TAKIM;erkek-giyim;erkek-takim-elbise;utuleme;600;HAYIR
visco-takim-batch8;VİSCO TAKIM;erkek-giyim;erkek-takim-elbise;yikama;1200;EVET
peluslar-batch9;PELUŞLAR;ev-tekstili;mobilya-tekstili;kuru-temizleme;500;EVET
perde-batch9;PERDE;ev-tekstili;perde-tul;kuru-temizleme;150;EVET
perde-batch9;PERDE;ev-tekstili;perde-tul;utuleme;100;HAYIR
perde-batch9;PERDE;ev-tekstili;perde-tul;yikama;150;EVET
perde-i-pek-batch9;PERDE İPEK;ev-tekstili;perde-tul;kuru-temizleme;250;EVET
perde-i-pek-batch9;PERDE İPEK;ev-tekstili;perde-tul;utuleme;150;HAYIR
perde-i-pek-batch9;PERDE İPEK;ev-tekstili;perde-tul;yikama;250;EVET
pi-jama-2-par-batch9;PİJAMA 2 PAR.;erkek-giyim;erkek-ust-giyim;kuru-temizleme;600;EVET
pi-jama-2-par-batch9;PİJAMA 2 PAR.;erkek-giyim;erkek-ust-giyim;utuleme;300;HAYIR
pi-jama-2-par-batch9;PİJAMA 2 PAR.;erkek-giyim;erkek-ust-giyim;yikama;600;EVET
pi-jama-2-par-i-pek-batch9;PİJAMA 2 PAR.İPEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
pi-jama-2-par-saten-batch9;PİJAMA 2 PAR.SATEN;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
pi-jama-alt-batch9;PİJAMA ALT;erkek-giyim;erkek-alt-giyim;kuru-temizleme;350;EVET
pi-jama-tek-parc-batch9;PİJAMA TEK PARÇ.;erkek-giyim;erkek-ust-giyim;kuru-temizleme;350;EVET
pi-jama-ust-batch9;PİJAMA ÜST;erkek-giyim;erkek-ust-giyim;kuru-temizleme;400;EVET
suet-terli-k-batch9;SÜET TERLİK;ozel-temizleme;canta-ayakkabi;kuru-temizleme;600;EVET
suet-terli-k-batch9;SÜET TERLİK;ozel-temizleme;canta-ayakkabi;yikama;600;EVET
terli-k-batch9;TERLİK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
terli-k-batch9;TERLİK;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
terli-k-deri-batch9;TERLİK DERİ;ozel-temizleme;canta-ayakkabi;kuru-temizleme;750;EVET
terli-k-deri-batch9;TERLİK DERİ;ozel-temizleme;canta-ayakkabi;yikama;750;EVET
suet-ayakkabi-batch9;SÜET AYAKKABI;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1000;EVET
suet-ayakkabi-batch9;SÜET AYAKKABI;ozel-temizleme;canta-ayakkabi;yikama;1000;EVET
suet-ayakkabi-batch9;SÜET AYAKKABI;ozel-temizleme;canta-ayakkabi;boyama;750;HAYIR
suet-bot-batch9;SÜET BOT;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1000;EVET
suet-bot-batch9;SÜET BOT;ozel-temizleme;canta-ayakkabi;yikama;1000;EVET
suet-bot-batch9;SÜET BOT;ozel-temizleme;canta-ayakkabi;boyama;750;HAYIR
suet-cizme-batch9;SÜET ÇİZME;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1000;EVET
suet-cizme-batch9;SÜET ÇİZME;ozel-temizleme;canta-ayakkabi;yikama;1000;EVET
suet-cizme-batch9;SÜET ÇİZME;ozel-temizleme;canta-ayakkabi;boyama;750;HAYIR
suet-kovboy-batch9;SÜET KOVBOY;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1000;EVET
suet-kovboy-batch9;SÜET KOVBOY;ozel-temizleme;canta-ayakkabi;yikama;1000;EVET
suet-kovboy-batch9;SÜET KOVBOY;ozel-temizleme;canta-ayakkabi;boyama;750;HAYIR
sweatshirt-batch9;SWEATSHİRT;erkek-giyim;erkek-ust-giyim;kuru-temizleme;350;EVET
sweatshirt-batch9;SWEATSHİRT;erkek-giyim;erkek-ust-giyim;utuleme;150;HAYIR
sweatshirt-batch9;SWEATSHİRT;erkek-giyim;erkek-ust-giyim;yikama;350;EVET
sweatshirt-kapsonlu-batch9;SWEATSHİRT KAPŞONLU;erkek-giyim;erkek-ust-giyim;kuru-temizleme;350;EVET
sweatshirt-kapsonlu-batch9;SWEATSHİRT KAPŞONLU;erkek-giyim;erkek-ust-giyim;yikama;350;EVET
tunik-batch9;TUNİK;kadin-giyim;kadin-ust-giyim;kuru-temizleme;450;EVET
tunik-batch9;TUNİK;kadin-giyim;kadin-ust-giyim;utuleme;200;HAYIR
tunik-batch9;TUNİK;kadin-giyim;kadin-ust-giyim;yikama;450;EVET
uzun-g-mlek-batch9;UZUN GÖMLEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;300;EVET
uzun-g-mlek-batch9;UZUN GÖMLEK;erkek-giyim;erkek-ust-giyim;utuleme;150;HAYIR
uzun-g-mlek-batch9;UZUN GÖMLEK;erkek-giyim;erkek-ust-giyim;yikama;300;EVET
y-n-ceket-batch9;YÜN CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
y-n-ceket-batch9;YÜN CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
y-n-ceket-batch9;YÜN CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
y-n-ceket-batch9;YÜN CEKET;erkek-giyim;erkek-ust-giyim;boyama;2000;HAYIR
y-n-pantolon-batch9;YÜN PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;300;EVET
y-n-pantolon-batch9;YÜN PANTOLON;erkek-giyim;erkek-alt-giyim;utuleme;150;HAYIR
y-n-pantolon-batch9;YÜN PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;300;EVET
y-n-pantolon-batch9;YÜN PANTOLON;erkek-giyim;erkek-alt-giyim;boyama;1500;HAYIR
y-n-takim-batch9;YÜN TAKIM;erkek-giyim;erkek-takim-elbise;kuru-temizleme;1200;EVET
y-n-takim-batch9;YÜN TAKIM;erkek-giyim;erkek-takim-elbise;utuleme;600;HAYIR
y-n-takim-batch9;YÜN TAKIM;erkek-giyim;erkek-takim-elbise;yikama;1200;EVET
yatak-ortus-single-batch9;YATAK ÖRTÜS SİNGLE;ev-tekstili;yatak-takimi;kuru-temizleme;1000;EVET
yatak-ortus-single-batch9;YATAK ÖRTÜS SİNGLE;ev-tekstili;yatak-takimi;utuleme;500;HAYIR
yatak-ortus-single-batch9;YATAK ÖRTÜS SİNGLE;ev-tekstili;yatak-takimi;yikama;1000;EVET
yatak-ortus-double-batch9;YATAK ÖRTÜS DOUBLE;ev-tekstili;yatak-takimi;kuru-temizleme;1500;EVET
yatak-ortus-double-batch9;YATAK ÖRTÜS DOUBLE;ev-tekstili;yatak-takimi;utuleme;750;HAYIR
yatak-ortus-double-batch9;YATAK ÖRTÜS DOUBLE;ev-tekstili;yatak-takimi;yikama;1500;EVET
yastik-duz-batch9;YASTIK DÜZ;ev-tekstili;yatak-takimi;kuru-temizleme;450;EVET
yastik-duz-batch9;YASTIK DÜZ;ev-tekstili;yatak-takimi;utuleme;250;HAYIR
yastik-duz-batch9;YASTIK DÜZ;ev-tekstili;yatak-takimi;yikama;450;EVET
yastik-nakı-li-batch9;YASTIK NAKIŞLI;ev-tekstili;yatak-takimi;kuru-temizleme;500;EVET
yastik-nakı-li-batch9;YASTIK NAKIŞLI;ev-tekstili;yatak-takimi;utuleme;250;HAYIR
yastik-nakı-li-batch9;YASTIK NAKIŞLI;ev-tekstili;yatak-takimi;yikama;500;EVET
yastik-saten-batch9;YASTIK SATEN;ev-tekstili;yatak-takimi;kuru-temizleme;500;EVET
yastik-saten-batch9;YASTIK SATEN;ev-tekstili;yatak-takimi;utuleme;250;HAYIR
yastik-saten-batch9;YASTIK SATEN;ev-tekstili;yatak-takimi;yikama;500;EVET
yastik-i-pek-batch9;YASTIK İPEK;ev-tekstili;yatak-takimi;kuru-temizleme;1000;EVET
yastik-i-pek-batch9;YASTIK İPEK;ev-tekstili;yatak-takimi;utuleme;500;HAYIR
yastik-i-pek-batch9;YASTIK İPEK;ev-tekstili;yatak-takimi;yikama;1000;EVET
