ID;Ürün Adı;Kategori;Alt Kategori;Hizmet Türü;Fiyat (TL);Popüler
i-pek-etek-batch7;İPEK ETEK;kadin-giyim;kadin-ust-giyim;yikama;450;EVET
jakar-kuma-batch7;JAKAR KUMAŞ;erkek-giyim;erkek-ust-giyim;kuru-temizleme;400;EVET
jakar-kuma-batch7;JAKAR KUMAŞ;erkek-giyim;erkek-ust-giyim;utuleme;200;HAYIR
jakar-kuma-batch7;JAKAR KUMAŞ;erkek-giyim;erkek-ust-giyim;yikama;400;EVET
jeans-ceket-batch7;JEANS CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;450;EVET
jeans-ceket-batch7;JEANS CEKET;erkek-giyim;erkek-ust-giyim;utuleme;200;HAYIR
jeans-ceket-batch7;JEANS CEKET;erkek-giyim;erkek-ust-giyim;yikama;450;EVET
jeans-etek-batch7;JEANS ETEK;kadin-giyim;kadin-ust-giyim;kuru-temizleme;450;EVET
jeans-etek-batch7;JEANS ETEK;kadin-giyim;kadin-ust-giyim;utuleme;200;HAYIR
jeans-etek-batch7;JEANS ETEK;kadin-giyim;kadin-ust-giyim;yikama;450;EVET
jeans-etek-batch7;JEANS ETEK;kadin-giyim;kadin-ust-giyim;boyama;500;HAYIR
jeans-g-mlek-batch7;JEANS GÖMLEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;300;EVET
jeans-g-mlek-batch7;JEANS GÖMLEK;erkek-giyim;erkek-ust-giyim;utuleme;150;HAYIR
jeans-g-mlek-batch7;JEANS GÖMLEK;erkek-giyim;erkek-ust-giyim;yikama;300;EVET
kombinezon-batch7;KOMBİNEZON;erkek-giyim;erkek-ust-giyim;kuru-temizleme;600;EVET
kombinezon-batch7;KOMBİNEZON;erkek-giyim;erkek-ust-giyim;utuleme;200;HAYIR
kombinezon-batch7;KOMBİNEZON;erkek-giyim;erkek-ust-giyim;yikama;600;EVET
kordon-g-mlek-batch7;KORDON GÖMLEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;300;EVET
kordon-g-mlek-batch7;KORDON GÖMLEK;erkek-giyim;erkek-ust-giyim;utuleme;150;HAYIR
kordon-g-mlek-batch7;KORDON GÖMLEK;erkek-giyim;erkek-ust-giyim;yikama;300;EVET
kot-ceket-batch7;KOT CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;450;EVET
kot-ceket-batch7;KOT CEKET;erkek-giyim;erkek-ust-giyim;utuleme;200;HAYIR
kot-ceket-batch7;KOT CEKET;erkek-giyim;erkek-ust-giyim;yikama;450;EVET
kostum-takım-batch7;KOSTÜM TAKIM;kadin-giyim;kadin-ust-giyim;kuru-temizleme;1500;EVET
kostum-takım-batch7;KOSTÜM TAKIM;kadin-giyim;kadin-ust-giyim;utuleme;500;HAYIR
kostum-takım-batch7;KOSTÜM TAKIM;kadin-giyim;kadin-ust-giyim;yikama;1500;EVET
k-rklu-ceket-batch7;KÜRKLU CEKET;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1500;EVET
k-rklu-ceket-batch7;KÜRKLU CEKET;ozel-temizleme;canta-ayakkabi;yikama;1500;EVET
k-rklu-kaban-batch7;KÜRKLU KABAN;ozel-temizleme;canta-ayakkabi;kuru-temizleme;2000;EVET
k-rklu-kaban-batch7;KÜRKLU KABAN;ozel-temizleme;canta-ayakkabi;yikama;2000;EVET
k-rklu-mont-batch7;KÜRKLU MONT;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1500;EVET
k-rklu-mont-batch7;KÜRKLU MONT;ozel-temizleme;canta-ayakkabi;yikama;1500;EVET
k-rklu-yelek-batch7;KÜRKLU YELEK;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1500;EVET
k-rklu-yelek-batch7;KÜRKLU YELEK;ozel-temizleme;canta-ayakkabi;yikama;1500;EVET
k-rk-batch7;KÜRK;ozel-temizleme;canta-ayakkabi;kuru-temizleme;2500;EVET
k-rk-batch7;KÜRK;ozel-temizleme;canta-ayakkabi;yikama;2500;EVET
likralı-tulum-batch7;LİKRALI TULUM;erkek-giyim;erkek-alt-giyim;kuru-temizleme;750;EVET
likralı-tulum-batch7;LİKRALI TULUM;erkek-giyim;erkek-alt-giyim;utuleme;350;HAYIR
likralı-tulum-batch7;LİKRALI TULUM;erkek-giyim;erkek-alt-giyim;yikama;750;EVET
likralı-tulum-batch7;LİKRALI TULUM;erkek-giyim;erkek-alt-giyim;boyama;750;HAYIR
lycra-pantolon-batch7;LYCRA PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;300;EVET
lycra-pantolon-batch7;LYCRA PANTOLON;erkek-giyim;erkek-alt-giyim;utuleme;150;HAYIR
lycra-pantolon-batch7;LYCRA PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;300;EVET
maksi-elbi-se-batch7;MAKSİ ELBİSE;kadin-giyim;kadin-ust-giyim;kuru-temizleme;900;EVET
maksi-elbi-se-batch7;MAKSİ ELBİSE;kadin-giyim;kadin-ust-giyim;utuleme;400;HAYIR
maksi-elbi-se-batch7;MAKSİ ELBİSE;kadin-giyim;kadin-ust-giyim;yikama;900;EVET
mani-battal-mont-batch7;MANİ BATTAL MONT;erkek-giyim;erkek-ust-giyim;kuru-temizleme;1000;EVET
mani-battal-mont-batch7;MANİ BATTAL MONT;erkek-giyim;erkek-ust-giyim;utuleme;500;HAYIR
mani-battal-mont-batch7;MANİ BATTAL MONT;erkek-giyim;erkek-ust-giyim;yikama;1000;EVET
moda-ceket-batch7;MODA CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
moda-ceket-batch7;MODA CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
moda-ceket-batch7;MODA CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
nakı-li-etek-batch7;NAKIŞLI ETEK;kadin-giyim;kadin-ust-giyim;kuru-temizleme;500;EVET
nakı-li-etek-batch7;NAKIŞLI ETEK;kadin-giyim;kadin-ust-giyim;utuleme;250;HAYIR
nakı-li-etek-batch7;NAKIŞLI ETEK;kadin-giyim;kadin-ust-giyim;yikama;500;EVET
ni-an-elbi-sesi-batch7;NİŞAN ELBİSESİ;kadin-giyim;kadin-ust-giyim;kuru-temizleme;2500;EVET
ni-an-elbi-sesi-batch7;NİŞAN ELBİSESİ;kadin-giyim;kadin-ust-giyim;utuleme;750;HAYIR
ni-an-elbi-sesi-batch7;NİŞAN ELBİSESİ;kadin-giyim;kadin-ust-giyim;yikama;2500;EVET
organze-elbi-se-batch7;ORGANZE ELBİSE;kadin-giyim;kadin-ust-giyim;kuru-temizleme;1500;EVET
organze-elbi-se-batch7;ORGANZE ELBİSE;kadin-giyim;kadin-ust-giyim;utuleme;500;HAYIR
organze-elbi-se-batch7;ORGANZE ELBİSE;kadin-giyim;kadin-ust-giyim;yikama;1500;EVET
pijama-elbi-sesi-batch7;PİJAMA ELBİSESİ;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
pijama-elbi-sesi-batch7;PİJAMA ELBİSESİ;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
pijama-elbi-sesi-batch7;PİJAMA ELBİSESİ;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
polar-ceket-batch7;POLAR CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;400;EVET
polar-ceket-batch7;POLAR CEKET;erkek-giyim;erkek-ust-giyim;utuleme;200;HAYIR
polar-ceket-batch7;POLAR CEKET;erkek-giyim;erkek-ust-giyim;yikama;400;EVET
polar-pantolon-batch7;POLAR PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;300;EVET
polar-pantolon-batch7;POLAR PANTOLON;erkek-giyim;erkek-alt-giyim;utuleme;150;HAYIR
polar-pantolon-batch7;POLAR PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;300;EVET
popli-n-g-mlek-batch7;POPLİN GÖMLEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;300;EVET
popli-n-g-mlek-batch7;POPLİN GÖMLEK;erkek-giyim;erkek-ust-giyim;utuleme;150;HAYIR
popli-n-g-mlek-batch7;POPLİN GÖMLEK;erkek-giyim;erkek-ust-giyim;yikama;300;EVET
salopet-batch7;SALOPET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;600;EVET
salopet-batch7;SALOPET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
salopet-batch7;SALOPET;erkek-giyim;erkek-ust-giyim;yikama;600;EVET
salopet-batch7;SALOPET;erkek-giyim;erkek-ust-giyim;boyama;750;HAYIR
sıfı-r-yakali-g-mlek-batch7;SIFIR YAKALI GÖMLEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;300;EVET
sıfı-r-yakali-g-mlek-batch7;SIFIR YAKALI GÖMLEK;erkek-giyim;erkek-ust-giyim;utuleme;150;HAYIR
sıfı-r-yakali-g-mlek-batch7;SIFIR YAKALI GÖMLEK;erkek-giyim;erkek-ust-giyim;yikama;300;EVET
kaban-deri-batch8;KABAN DERİ;ozel-temizleme;canta-ayakkabi;yikama;2500;EVET
kaban-kapsonlu-batch8;KABAN KAPŞONLU;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
