file_name,url,neighborhood,district,service,title_length,meta_length,status,timestamp
bolgelerkadikoycamlica-lostra-hizmeti.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-lostra-hizmeti.html,Çamlıca,Kadıköy,Lostra Hizmeti,43,131,success,2025-08-16T19:48:01.676693
bolgelerkadikoycamlica-utu-hizmetleri.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-utu-hizmetleri.html,Çamlıca,Kadıköy,Ütü Hizmetleri,43,131,success,2025-08-16T19:48:01.677552
bolgelerkadikoysahrayicedit-kuru-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-kuru-temizleme.html,Sahrayı Cedit,Kadıköy,Kuru Temizleme,49,137,success,2025-08-16T19:48:01.678555
bolgelerkadikoysahrayicedit-gelinlik-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-gelinlik-temizleme.html,Sahrayı Cedit,Kadıköy,Gelinlik Temizleme,53,141,success,2025-08-16T19:48:01.679480
bolgelerkadikoysahrayicedit-abiye-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-abiye-temizleme.html,Sahrayı Cedit,Kadıköy,Abiye Temizleme,50,138,success,2025-08-16T19:48:01.680452
bolgelerkadikoysahrayicedit-valiz-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-valiz-temizleme.html,Sahrayı Cedit,Kadıköy,Valiz Temizleme,50,138,success,2025-08-16T19:48:01.681599
bolgelerkadikoysahrayicedit-bavul-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-bavul-temizleme.html,Sahrayı Cedit,Kadıköy,Bavul Temizleme,50,138,success,2025-08-16T19:48:01.682846
bolgelerkadikoysahrayicedit-hali-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-hali-yikama.html,Sahrayı Cedit,Kadıköy,Halı Yıkama,46,134,success,2025-08-16T19:48:01.684018
bolgelerkadikoysahrayicedit-koltuk-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-koltuk-yikama.html,Sahrayı Cedit,Kadıköy,Koltuk Yıkama,48,136,success,2025-08-16T19:48:01.685193
bolgelerkadikoysahrayicedit-perde-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-perde-temizleme.html,Sahrayı Cedit,Kadıköy,Perde Temizleme,50,138,success,2025-08-16T19:48:01.686222
bolgelerkadikoysahrayicedit-ev-tekstili-temizligi.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-ev-tekstili-temizligi.html,Sahrayı Cedit,Kadıköy,Ev Tekstili Temizliği,56,144,success,2025-08-16T19:48:01.687132
bolgelerkadikoysahrayicedit-canta-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-canta-temizleme.html,Sahrayı Cedit,Kadıköy,Çanta Temizleme,50,138,success,2025-08-16T19:48:01.688074
bolgelerkadikoysahrayicedit-kumas-deri-boyama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-kumas-deri-boyama.html,Sahrayı Cedit,Kadıköy,Kumaş Deri Boyama,52,140,success,2025-08-16T19:48:01.689217
bolgelerkadikoysahrayicedit-lostra-hizmeti.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-lostra-hizmeti.html,Sahrayı Cedit,Kadıköy,Lostra Hizmeti,49,137,success,2025-08-16T19:48:01.690630
bolgelerkadikoysahrayicedit-utu-hizmetleri.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/sahrayicedit-utu-hizmetleri.html,Sahrayı Cedit,Kadıköy,Ütü Hizmetleri,49,137,success,2025-08-16T19:48:01.692000
bolgelerkadikoykiziltoprak-kuru-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-kuru-temizleme.html,Kızıltoprak,Kadıköy,Kuru Temizleme,47,135,success,2025-08-16T19:48:01.693380
bolgelerkadikoykiziltoprak-gelinlik-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-gelinlik-temizleme.html,Kızıltoprak,Kadıköy,Gelinlik Temizleme,51,139,success,2025-08-16T19:48:01.694555
bolgelerkadikoykiziltoprak-abiye-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-abiye-temizleme.html,Kızıltoprak,Kadıköy,Abiye Temizleme,48,136,success,2025-08-16T19:48:01.695681
bolgelerkadikoykiziltoprak-valiz-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-valiz-temizleme.html,Kızıltoprak,Kadıköy,Valiz Temizleme,48,136,success,2025-08-16T19:48:01.697161
bolgelerkadikoykiziltoprak-bavul-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-bavul-temizleme.html,Kızıltoprak,Kadıköy,Bavul Temizleme,48,136,success,2025-08-16T19:48:01.698741
bolgelerkadikoykiziltoprak-hali-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-hali-yikama.html,Kızıltoprak,Kadıköy,Halı Yıkama,44,132,success,2025-08-16T19:48:01.700263
